project_id,project_name,planned_completion_date,industry,technology,complexity,project_type,planned_duration_days,current_planned_effort,current_planned_budget,current_planned_team_size,pm_estimated_value,ai_estimated_value,approved_cr_count,total_cr_effort_impact,total_cr_budget_impact,total_cr_duration_impact,latest_completion_percent,progress_snapshot_count,days_since_last_progress_update,average_progress_velocity,progress_velocity_trend,actual_effort_to_date,actual_budget_to_date,actual_team_size,actual_final_budget
395,Apex_001,,,,0.0,,0,0.0,0.0,0.0,888.0,0.0,1.0,0.0,21627.0,0.0,100.0,6,947,0.5073333333333333,-0.04916666666666669,80.0,70.0,0,70.0
396,Aurora_002,,,,0.0,,0,0.0,0.0,0.0,2420.0,0.0,4.0,0.0,75755.0,0.0,96.73,11,348,0.2982,0.01661666666666678,77.38,67.71,0,67.71
397,Vertex_003,,,,0.0,,0,0.0,0.0,0.0,1020.0,0.0,3.0,0.0,132355.0,0.0,100.0,8,999,0.3860952380952381,-0.10255555555555546,80.0,70.0,0,70.0
398,Prism_004,,,,0.0,,0,0.0,0.0,0.0,1246.0,0.0,5.0,0.0,163222.0,0.0,100.0,5,707,0.6066666666666667,0.2598333333333334,80.0,70.0,0,70.0
399,Node-X_005,,,,0.0,,0,0.0,0.0,0.0,702.0,0.0,5.0,0.0,108726.0,0.0,100.0,6,875,0.5259333333333334,0.09649999999999997,80.0,70.0,0,70.0
400,Sapphire_006,,,,0.0,,0,0.0,0.0,0.0,2007.0,0.0,0.0,0.0,0.0,0.0,100.0,11,593,0.29133333333333333,0.040166666666666684,80.0,70.0,0,70.0
401,Apex_001,,,,0.0,,0,0.0,0.0,0.0,2899.0,0.0,2.0,0.0,83213.0,0.0,96.24,11,442,0.30683333333333335,-0.1301166666666667,76.99,67.37,0,67.37
402,Apex_002,,,,0.0,,0,0.0,0.0,0.0,1880.0,0.0,4.0,0.0,113830.0,0.0,96.24,9,871,0.316,0.13961111111111107,76.99,67.37,0,67.37
403,Apex_003,,,,0.0,,0,0.0,0.0,0.0,2085.0,0.0,0.0,0.0,0.0,0.0,100.0,7,544,0.4371111111111112,-0.03022222222222226,80.0,70.0,0,70.0
404,Apex_004,,,,0.0,,0,0.0,0.0,0.0,2775.0,0.0,1.0,0.0,16965.0,0.0,98.58,9,936,0.382125,-0.03986111111111118,78.86,69.01,0,69.01
405,Apex_005,,,,0.0,,0,0.0,0.0,0.0,1890.0,0.0,0.0,0.0,0.0,0.0,99.58,9,642,0.3732083333333333,-0.0016666666666667052,79.66,69.71,0,69.71
